id_cliente,nome,idade,profissao,segmento_comercial,saldo_medio,risco_aml,risco_credito,rentabilidade,nivel_seguranca,perfil_origem
84,Vicente da Nogueira,30,Multinacional,Corporate / Institucional,12243894.59,22,22,1283842.72,Alto,Institucional Alto Valor
54,Rúben Castro,23,Importador/Exportador,Corporate,970742.49,88,33,20256.5,Critico,Alto Risco AML
71,Pedro Baptista,66,Estudante,Digital,800.42,3,62,436.08,Medio,Jovem Novo Cliente
46,Fabiana Lima,32,Importador/Exportador,Corporate,1200442.55,87,31,114716.58,Critico,Alto Risco AML
45,Joaquim Nunes,69,Cambio Informal,Corporate,1357555.49,85,34,36585.7,Critico,Alto Risco AML
40,Ema Mendes,74,Professor,Retalho,38234.81,22,23,1354.12,Medio,Massa Media Estavel
23,Carlota Reis,51,Enfermeiro,Retalho,43076.13,8,40,3089.11,Medio,Massa Media Estavel
81,Artur Ramos,61,Seguradora,Corporate / Institucional,13216797.38,31,8,1135680.54,Alto,Institucional Alto Valor
11,Márcio Maia-Lopes,29,Advogado,Private Banking,2098718.15,8,20,67850.63,Baixo,Premium Baixo Risco
1,Salomé-Alícia Matias,59,Empresario,Private Banking,612548.4,8,7,105802.68,Baixo,Premium Baixo Risco
19,Érica Barbosa,28,Medico,Private Banking,4064357.14,13,19,65881.93,Baixo,Premium Baixo Risco
31,Débora Silva,52,Comerciante,Retalho,14075.31,12,22,3366.6,Medio,Massa Media Estavel
74,Amélia Costa,74,Estudante,Digital,2900.67,8,61,320.74,Medio,Jovem Novo Cliente
34,Emanuel Coelho,34,Funcionario Publico,Retalho,55173.33,11,37,1926.18,Medio,Massa Media Estavel
91,Luís de Barbosa,64,Multinacional,Corporate / Institucional,8911612.41,22,12,391842.75,Alto,Institucional Alto Valor
5,Bernardo Loureiro,29,Diretor Executivo,Private Banking,2031127.32,4,6,289303.27,Baixo,Premium Baixo Risco
77,Nair Machado,46,Estagiario,Digital,2185.64,10,63,303.1,Medio,Jovem Novo Cliente
78,Soraia-Raquel Anjos,51,Estudante,Digital,1155.59,18,56,127.36,Medio,Jovem Novo Cliente
13,Nelson Andrade-Martins,36,Medico,Private Banking,3580764.13,1,7,255450.65,Baixo,Premium Baixo Risco
32,Constança Martins-Tavares,56,Enfermeiro,Retalho,49133.01,5,22,5954.89,Medio,Massa Media Estavel
56,Sebastião Martins-Morais,75,Importador/Exportador,Corporate,802101.47,75,44,126724.29,Critico,Alto Risco AML
89,Valentina Henriques,33,Fundo de Investimento,Corporate / Institucional,4652371.32,11,12,1479116.83,Alto,Institucional Alto Valor
27,Nicole Marques,24,Comerciante,Retalho,66201.74,29,37,6360.84,Medio,Massa Media Estavel
43,Luciana Rodrigues,22,Importador/Exportador,Corporate,820048.93,82,38,139712.53,Critico,Alto Risco AML
70,Anita Pires,30,Freelancer,Digital,2773.46,13,75,334.95,Medio,Jovem Novo Cliente
16,Melissa Magalhães,60,Diretor Executivo,Private Banking,1142922.16,4,7,236247.25,Baixo,Premium Baixo Risco
41,Andreia Macedo,53,Importador/Exportador,Corporate,1941092.89,99,54,128817.4,Critico,Alto Risco AML
97,Débora Valente,54,Seguradora,Corporate / Institucional,18149745.86,33,20,785090.68,Alto,Institucional Alto Valor
10,Mafalda Andrade,74,Empresario,Private Banking,2210568.01,14,20,258527.61,Baixo,Premium Baixo Risco
73,Irina Antunes,69,Estudante,Digital,668.77,6,62,164.13,Medio,Jovem Novo Cliente
12,Mafalda Cunha,59,Medico,Private Banking,2903629.45,7,5,165565.05,Baixo,Premium Baixo Risco
48,Iara Vieira-Simões,29,Importador/Exportador,Corporate,1925479.92,72,57,36015.49,Critico,Alto Risco AML
86,Enzo Lima,39,Seguradora,Corporate / Institucional,9952148.3,31,11,864526.2,Alto,Institucional Alto Valor
29,Caetana Pereira,57,Comerciante,Retalho,77327.22,22,44,6109.52,Medio,Massa Media Estavel
94,Mário Azevedo,54,Fundo de Investimento,Corporate / Institucional,18514460.26,13,19,373340.84,Alto,Institucional Alto Valor
6,André Baptista,40,Empresario,Private Banking,917356.3,3,11,261873.59,Baixo,Premium Baixo Risco
67,Noah Costa,69,Estudante,Digital,2696.77,6,71,124.76,Medio,Jovem Novo Cliente
